주소,공원_요소명,공원_거리 (m),기관명_요소명,기관명_거리 (m),역명_요소명,역명_거리 (m),정류장명_요소명,정류장명_거리 (m),주차장_요소명,주차장_거리 (m),초등학교명,초등학교 거리,중학교명,중학교 거리,고등학교명,고등학교 거리
서울특별시 강남구 논현로8길 32-8,구룡산도시자연공원,1107,경희비체담한의원,67,매봉,1473,구룡사거리,253,포이초교 공영주차장(구),196,서울포이초등학교,228,언남중학교,626,국립국악고등학교,223
서울특별시 강남구 도곡로 320,도곡근린공원,854,양원경소아청소년과의원,64,도곡,598,한티역6번출구,16,강남한티주차장(구),72,서울대도초등학교,359,역삼중학교,281,중앙대학교사범대학부속고등학교,415
서울특별시 강남구 도곡로18길 10,도곡근린공원,617,김종삼치과의원,169,양재,728,도곡1동주민센터.역삼럭키아파트,128,언주초 공영주차장(구),468,서울언주초등학교,508,은성중학교,365,은광여자고등학교,365
서울특별시 강남구 도곡로19길 19-1,도곡근린공원,734,역삼한의원,126,역삼,855,역삼럭키아파트.역삼월드메르디앙아파트,165,역삼1문화센터 공영주차장(구),453,서울역삼초등학교,423,은성중학교,551,은광여자고등학교,551
서울특별시 강남구 도곡로23길 5,도곡근린공원,535,예그린치과의원,36,매봉,879,도곡1동주민센터(경유),109,역삼1문화센터 공영주차장(구),647,서울역삼초등학교,621,도곡중학교,492,은광여자고등학교,603
서울특별시 강남구 도곡로25길 7-4,도곡근린공원,483,고운미소치과의원,20,매봉,859,도곡1차아이파크.역삼청소년수련관,80,역삼1문화센터 공영주차장(구),725,서울역삼초등학교,739,도곡중학교,385,은광여자고등학교,747
서울특별시 강남구 도곡로27길 40,도곡근린공원,632,스마트페이스한의원,144,역삼,753,구역삼세무서교차로(경유),235,테헤란로26길(구),721,서울역삼초등학교,839,도곡중학교,457,진선여자고등학교,964
서울특별시 강남구 도곡로33길 13,도곡근린공원,462,인산한의원,88,매봉,853,도곡1차아이파크.도곡중학교,187,강남한티주차장(구),810,서울대도초등학교,912,도곡중학교,275,중앙대학교사범대학부속고등학교,824
서울특별시 강남구 도곡로43길 20,도곡근린공원,792,강남심미치과보철과치과의원,180,선릉,824,역삼중학교.강남세브란스병원,249,강남한티주차장(구),312,서울도성초등학교,513,역삼중학교,105,진선여자고등학교,606
서울특별시 강남구 도곡로43길 21,도곡근린공원,627,역삼정내과의원,51,도곡,921,역삼중학교.강남세브란스병원,126,강남한티주차장(구),449,서울도성초등학교,658,역삼중학교,163,중앙대학교사범대학부속고등학교,619
서울특별시 강남구 도산대로102길 18-3,청담근린공원,219,자라다의원,135,청담,472,리베라호텔,152,언북초교 공영주차장(구),746,서울봉은초등학교,778,청담중학교,945,경기고등학교,684
서울특별시 강남구 도산대로19길 34,도산근린공원,977,제이엠성형외과의원,184,신사,653,신사동고개,277,압구정고가2 공영주차장(시),607,서울신구초등학교,283,신사중학교,536,현대고등학교,555
서울특별시 강남구 도산대로30길 29-11,도산근린공원,792,토마스정신과의원,137,학동,450,강남을지병원,229,언주로147길(구),258,서울신구초등학교,842,언북중학교,221,현대고등학교,1109
서울특별시 강남구 도산대로4길 18-6,도산근린공원,1626,연세필정신건강의학과의원,57,신사,154,신사역3번출구,83,강남대로150길(구),81,서울신동초등학교,875,신동중학교,739,현대고등학교,1151
서울특별시 강남구 도산대로50길 25-7,도산근린공원,503,백박삼치과의원,96,강남구청,493,영동고등학교현대아파트,135,언주로147길(구),447,서울언북초등학교,584,언북중학교,474,영동고등학교,494
서울특별시 강남구 도산대로50길 33-3,도산근린공원,561,백박삼치과의원,151,강남구청,440,영동고등학교현대아파트,185,언주로147길(구),422,서울언북초등학교,589,언북중학교,443,영동고등학교,519
서울특별시 강남구 도산대로54길 36-4,도산근린공원,587,미의원,144,강남구청,409,영동고등학교현대아파트,140,언주로147길(구),485,서울언북초등학교,526,언북중학교,505,영동고등학교,456
서울특별시 강남구 도산대로54길 46,도산근린공원,663,연세스타내과의원,136,강남구청,334,영동고등학교현대아파트,179,언주로147길(구),530,서울언북초등학교,480,언북중학교,545,영동고등학교,431
서울특별시 강남구 도산대로54길 48-4,도산근린공원,657,연세스타내과의원,144,강남구청,338,영동고등학교현대아파트,183,언주로147길(구),518,서울언북초등학교,491,언북중학교,534,영동고등학교,442
서울특별시 강남구 도산대로78길 35,청담근린공원,541,씨디유청담유성형외과의원,125,청담,578,청담2치안센터,168,언북초교 공영주차장(구),227,서울언북초등학교,250,청담중학교,759,영동고등학교,240
서울특별시 강남구 도산대로89길 19-13,청담근린공원,542,청담닥터리치과의원,67,청담,770,청담동주민센터,158,언북초교 공영주차장(구),783,서울청담초등학교,534,청담중학교,582,청담고등학교,637
서울특별시 강남구 밤고개로 165,율현공원,1143,강남365치과의원,461,수서,1000,LH수서아파트,136,수서역북 공영주차장(시),1106,서울율현초등학교,572,수서중학교,1357,풍문고등학교,1047
서울특별시 강남구 밤고개로21길 25,율현공원,764,세곡경희한의원,168,수서,1493,래미안포레아파트,82,헌릉로745길(구),1085,서울율현초등학교,82,세곡중학교,1432,풍문고등학교,794
서울특별시 강남구 밤고개로21길 56,율현공원,275,세곡어린이치과의원,193,복정,1266,세곡2지구3.4단지,446,헌릉로745길(구),596,서울율현초등학교,414,문현중학교,1582,풍문고등학교,1138
서울특별시 강남구 밤고개로26길 50,율현공원,1075,바른정치과의원,385,복정,1967,세곡동주민센터,296,헌릉로745길(구),1287,서울대왕초등학교,361,세곡중학교,1232,풍문고등학교,581
서울특별시 강남구 밤고개로27길 20,율현공원,538,세곡경희한의원,339,복정,1499,세곡동주민센터,273,헌릉로745길(구),801,서울율현초등학교,423,세곡중학교,1582,풍문고등학교,866
서울특별시 강남구 봉은사로13길 26,도산근린공원,1933,김정수여러분병원,239,언주,350,삼정호텔,193,역삼문화공원 공영주차장(구),571,서울논현초등학교,337,서일중학교,1186,반포고등학교,1312
서울특별시 강남구 봉은사로1길 42-25,도산근린공원,2038,소망제일의료소비자생활협동조합소망제일의원,36,신논현,388,논현역(중),210,언구비 공영주차장(구),527,서울논현초등학교,97,원촌중학교,948,반포고등학교,973
서울특별시 강남구 봉은사로29길 35,도산근린공원,1681,골드해피미래의원,63,언주,258,논현아이파크,259,역삼문화공원 공영주차장(구),834,서울학동초등학교,609,언북중학교,1094,진선여자고등학교,1531
서울특별시 강남구 봉은사로37길 24,도산근린공원,1650,골드힐링한의원,33,언주,356,논현아이파크,121,강남치매지원센터 공영주차장(구),901,서울학동초등학교,397,언주중학교,1062,진선여자고등학교,1354
서울특별시 강남구 봉은사로55길 26,봉은공원,1011,청담오라클피부과의원,94,선정릉,155,한국토지주택공사앞,118,강남치매지원센터 공영주차장(구),300,서울삼릉초등학교,264,언주중학교,342,영동고등학교,1014
서울특별시 강남구 봉은사로57길 22,봉은공원,953,청담오라클피부과의원,131,선정릉,184,삼성2문화센터,170,강남치매지원센터 공영주차장(구),265,서울삼릉초등학교,212,언주중학교,308,영동고등학교,1018
서울특별시 강남구 봉은사로61길 38-2,봉은공원,849,건우한의원,255,선정릉,357,한국토지주택공사앞,266,강남치매지원센터 공영주차장(구),380,서울삼릉초등학교,104,언주중학교,134,영동고등학교,882
서울특별시 강남구 봉은사로71길 25,봉은공원,535,더행복한흉부외과의원,107,삼성중앙,351,삼성중앙역.플래티넘아파트,221,강남치매지원센터 공영주차장(구),474,서울삼릉초등학교,227,언주중학교,260,경기고등학교,720
서울특별시 강남구 봉은사로73길 45-3,봉은공원,553,경희예가한의원,24,삼성중앙,417,삼성중앙역.플래티넘아파트,333,강남치매지원센터 공영주차장(구),609,서울삼릉초등학교,307,언주중학교,250,경기고등학교,642
서울특별시 강남구 봉은사로78길 27,봉은공원,366,제이더블유(JW)정원성형외과의원,38,삼성중앙,230,한별구립어린이집,126,테헤란로69길 노상공영 주차장(구),467,서울삼릉초등학교,643,언주중학교,738,경기고등학교,765
서울특별시 강남구 봉은사로78길 31-1,봉은공원,377,제이더블유(JW)정원성형외과의원,24,삼성중앙,251,한별구립어린이집,104,테헤란로69길 노상공영 주차장(구),451,서울삼릉초등학교,664,언주중학교,761,경기고등학교,780
서울특별시 강남구 삼성로 11,대모산도시자연공원,1265,강남경희한의원,196,대치,1198,디에이치아너힐즈,16,개포주공5단지북측(구),462,서울개포초등학교,347,개포중학교,691,수도전기공업고등학교,312
서울특별시 강남구 삼성로 14,대모산도시자연공원,1320,강남경희한의원,0,대치,1038,개포주공5단지.경기여고,112,개포주공5단지북측(구),273,서울개포초등학교,211,개원중학교,664,경기여자고등학교,278
서울특별시 강남구 삼성로 629,봉은공원,424,청담공드림피부과의원,79,삼성중앙,354,삼성중앙역.플래티넘아파트,345,언북초교 공영주차장(구),684,서울삼릉초등학교,477,언주중학교,428,경기고등학교,464
서울특별시 강남구 삼성로 651,청담근린공원,393,YK(와이케이)안과의원,0,청담,180,청담천주교회,133,언북초교 공영주차장(구),427,서울언북초등학교,509,언주중학교,507,경기고등학교,540
서울특별시 강남구 삼성로115길 47-6,봉은공원,632,세라의원,171,삼성중앙,437,삼성중앙역.플래티넘아파트,290,강남치매지원센터 공영주차장(구),394,서울삼릉초등학교,126,언주중학교,199,경기고등학교,820
서울특별시 강남구 삼성로119길 37-8,봉은공원,624,경희예가한의원,105,삼성중앙,467,삼성중앙역.플래티넘아파트,356,강남치매지원센터 공영주차장(구),544,서울삼릉초등학교,225,언주중학교,164,경기고등학교,731
서울특별시 강남구 삼성로122길 24,청담근린공원,430,연앤네이쳐산부인과의원,245,청담,294,청담역.경기고교,251,언북초교 공영주차장(구),843,서울봉은초등학교,584,봉은중학교,673,경기고등학교,116
서울특별시 강남구 삼성로147길 16-10,청담근린공원,526,씨디유청담유성형외과의원,111,청담,567,청담2치안센터,157,언북초교 공영주차장(구),232,서울언북초등학교,260,청담중학교,760,영동고등학교,255
서울특별시 강남구 삼성로51길 35,도곡근린공원,1430,강남청아한의원,133,대치,290,대치역1번출구,159,강남한티주차장(구),734,서울대곡초등학교,428,단국대학교사범대학부속중학교,227,단국대학교사범대학부속고등학교,227
서울특별시 강남구 삼성로57길 33-1,도곡근린공원,1410,대치더블유내과의원,69,대치,527,삼성아파트입구,150,강남한티주차장(구),574,서울도곡초등학교,435,단국대학교사범대학부속중학교,187,단국대학교부속소프트웨어고등학교,186
서울특별시 강남구 삼성로67길 8-7,봉은공원,1418,드림한마음재활의학과의원,200,대치,877,대치동현대아파트,84,테헤란로78길노상(구),552,서울도곡초등학교,396,휘문중학교,545,휘문고등학교,545
서울특별시 강남구 삼성로69길 43,봉은공원,1475,재단법인위담 서울위담한방병원,177,선릉,788,대치동현대아파트,313,테헤란로78길노상(구),568,서울도곡초등학교,176,단국대학교사범대학부속중학교,584,단국대학교부속소프트웨어고등학교,583
서울특별시 강남구 삼성로69길 43-6,도곡근린공원,1464,재단법인위담 서울위담한방병원,188,선릉,798,도곡초등학교,307,강남한티주차장(구),558,서울도곡초등학교,148,단국대학교사범대학부속중학교,555,단국대학교부속소프트웨어고등학교,554
서울특별시 강남구 삼성로72길 12,봉은공원,1376,드림한마음재활의학과의원,163,삼성,771,대치현대아파트,137,영동대로85길(구),473,서울대현초등학교,312,휘문중학교,364,휘문고등학교,365
서울특별시 강남구 선릉로 8,구룡산도시자연공원,1256,지리산쌍계한의원,339,도곡,1440,래미안블레스티지아파트,54,개포주공5단지북측(구),1010,서울개현초등학교,237,개포중학교,237,수도전기공업고등학교,543
서울특별시 강남구 선릉로111길 38-19,봉은공원,1404,뿌리깊은한의원,186,선정릉,325,한국토지주택공사앞,309,강남치매지원센터 공영주차장(구),587,서울학동초등학교,113,언주중학교,704,영동고등학교,1173
서울특별시 강남구 선릉로112길 46-1,봉은공원,733,동의한방두앤목한의원,95,선정릉,366,삼성2문화센터,154,강남치매지원센터 공영주차장(구),212,서울삼릉초등학교,157,언주중학교,312,경기고등학교,977
서울특별시 강남구 선릉로120길 4-6,봉은공원,1098,경희강남한의원,21,선정릉,274,한국토지주택공사앞,57,강남치매지원센터 공영주차장(구),462,서울학동초등학교,332,언주중학교,348,영동고등학교,889
서울특별시 강남구 선릉로141길 14,도산근린공원,602,미의원,155,강남구청,394,영동고등학교현대아파트,150,언주로147길(구),488,서울언북초등학교,521,언북중학교,508,영동고등학교,456
서울특별시 강남구 선릉로146길 27-4,도산근린공원,717,윤은성성형외과의원,110,강남구청,551,영동고교앞,239,언북초교 공영주차장(구),364,서울언북초등학교,293,청담중학교,764,영동고등학교,135
서울특별시 강남구 압구정로2길 20,도산근린공원,1451,다른치과의원,76,신사,411,신사역6번출구,295,강남대로150길(구),482,서울신구초등학교,529,신사중학교,529,현대고등학교,645
서울특별시 강남구 양재대로55길 10,광평근린공원,578,동선소아과의원,312,대청,1013,일원주유소.삼성서울병원후문,407,탄천제2호 공영주차장(구),330,서울대청초등학교,284,배명중학교,660,대진디자인고등학교,534
서울특별시 강남구 언주로 420,도곡근린공원,1187,메티스정신과의원,135,선릉,509,한국자산신탁.센터필드,201,테헤란로26길(구),734,서울도성초등학교,419,진선여자중학교,394,진선여자고등학교,393
서울특별시 강남구 언주로 604,봉은공원,1583,가톨릭정형외과의원,93,언주,473,논현아이파크,267,강남치매지원센터 공영주차장(구),713,서울학동초등학교,321,언주중학교,925,진선여자고등학교,1185
서울특별시 강남구 언주로122길 30-5,도산근린공원,1462,서울인치과의원,164,선정릉,504,논현아이파크,197,강남치매지원센터 공영주차장(구),768,서울학동초등학교,156,언주중학교,835,영동고등학교,1189
서울특별시 강남구 언주로122길 32-6,도산근린공원,1459,서울인치과의원,176,선정릉,492,논현아이파크,211,강남치매지원센터 공영주차장(구),756,서울학동초등학교,142,언주중학교,821,영동고등학교,1178
서울특별시 강남구 언주로136길 35,도산근린공원,815,황치과의원,120,강남구청,262,강남구청역,213,언주로147길(구),498,서울언북초등학교,615,언북중학교,495,영동고등학교,617
서울특별시 강남구 언주로138길 17,도산근린공원,748,셀러블153강남의원,74,강남구청,408,서울세관,162,언주로147길(구),359,서울학동초등학교,695,언북중학교,352,영동고등학교,719
서울특별시 강남구 언주로141길 32-4,도산근린공원,715,닥터홍내과의원,106,학동,488,언북중학교입구,229,언주로147길(구),158,서울신구초등학교,900,언북중학교,116,영동고등학교,1057
서울특별시 강남구 언주로150길 46,도산근린공원,419,백박삼치과의원,60,강남구청,580,씨네시티앞,148,언주로147길(구),464,서울언북초등학교,621,언북중학교,497,영동고등학교,510
서울특별시 강남구 언주로65길 32,도곡근린공원,527,인산한의원,150,역삼,888,도곡1차아이파크.도곡중학교,257,강남한티주차장(구),783,서울도성초등학교,880,도곡중학교,328,중앙대학교사범대학부속고등학교,840
서울특별시 강남구 언주로69길 23-4,도곡근린공원,650,이스턴치과의원,169,역삼,804,도곡1차아이파크.역삼청소년수련관,379,강남한티주차장(구),762,서울도성초등학교,773,도곡중학교,442,진선여자고등학교,820
서울특별시 강남구 언주로69길 23-5,도곡근린공원,622,엔젤미치과의원,152,역삼,841,도곡1차아이파크.도곡중학교,368,강남한티주차장(구),734,서울도성초등학교,774,도곡중학교,410,진선여자고등학교,826
서울특별시 강남구 언주로69길 27-6,도곡근린공원,614,엔젤미치과의원,205,역삼,817,도곡1차아이파크.역삼청소년수련관,332,강남한티주차장(구),785,서울도성초등학교,819,도곡중학교,411,진선여자고등학교,867
서울특별시 강남구 언주로90길 26,도곡근린공원,1378,우리성형외과의원,35,선릉,305,한국자산신탁.센터필드,111,테헤란로64길(구),553,서울도성초등학교,343,진선여자중학교,265,진선여자고등학교,266
서울특별시 강남구 언주로97길 27-12,도곡근린공원,1619,하임치과의원,89,역삼,461,아가방빌딩.하나은행,294,테헤란로26길(구),551,서울도성초등학교,898,진선여자중학교,821,진선여자고등학교,822
서울특별시 강남구 역삼로 315-1,도곡근린공원,1224,강남더드림병원,92,선릉,443,도성초등학교,106,테헤란로64길(구),473,서울도성초등학교,145,진선여자중학교,251,진선여자고등학교,249
서울특별시 강남구 역삼로11길 18,도곡근린공원,1011,쎌치과의원,142,역삼,645,역삼초교교차로(경유),204,역삼1문화센터 공영주차장(구),176,서울역삼초등학교,297,은성중학교,730,은광여자고등학교,730
서울특별시 강남구 역삼로12길 17-1,도곡근린공원,937,서울시카고치과의원,143,역삼,819,역삼초교교차로(경유),178,역삼1문화센터 공영주차장(구),277,서울역삼초등학교,220,은성중학교,554,은광여자고등학교,554
서울특별시 강남구 역삼로12길 17-2,도곡근린공원,928,서울시카고치과의원,153,역삼,830,역삼초교교차로(경유),186,역삼1문화센터 공영주차장(구),289,서울역삼초등학교,224,은성중학교,542,은광여자고등학교,542
서울특별시 강남구 역삼로12길 18-6,도곡근린공원,961,서울시카고치과의원,142,강남,840,역삼초교교차로(경유),164,역삼1문화센터 공영주차장(구),295,서울역삼초등학교,179,은성중학교,511,은광여자고등학교,511
서울특별시 강남구 역삼로23길 9,도곡근린공원,908,조규홍비뇨기과의원,90,역삼,523,구역삼세무서교차로(경유),129,역삼1문화센터 공영주차장(구),404,서울역삼초등학교,551,도곡중학교,782,은광여자고등학교,883
서울특별시 강남구 영동대로 22,대모산도시자연공원,1407,더힐가정의학과의원,0,대청,549,디에이치자이개포아파트,194,영동6교밑 공영주차장(시),443,서울일원초등학교,243,개원중학교,250,중동고등학교,663
서울특별시 강남구 영동대로112길 46,봉은공원,771,아침에한의원,203,봉은사,361,삼성(경유),235,영동대로106길(구),204,서울봉은초등학교,576,봉은중학교,411,경기고등학교,736
서울특별시 강남구 영동대로138길 12,청담근린공원,524,청담유펜치과의원,148,청담,732,영동교입구.청담자이아파트,181,언북초교 공영주차장(구),1120,서울봉은초등학교,552,봉은중학교,728,경기고등학교,734
서울특별시 강남구 자곡로 154,율현공원,1295,아이그로우정신건강의학과의원,198,수서,1721,못골마을,150,헌릉로745길(구),1585,서울자곡초등학교,112,세곡중학교,797,풍문고등학교,115
서울특별시 강남구 자곡로 175,율현공원,1163,재단법인원불교서울교구강남원의원,83,수서,1476,못골마을.강남자곡아이파크,136,헌릉로745길(구),1475,서울자곡초등학교,350,세곡중학교,983,풍문고등학교,403
서울특별시 강남구 자곡로 260,율현공원,580,세곡어린이치과의원,349,장지,1298,세곡2지구3.4단지,113,헌릉로745길(구),879,서울율현초등학교,381,문현중학교,1497,풍문고등학교,1192
서울특별시 강남구 자곡로11길 11,율현공원,851,강남365치과의원,332,수서,1309,래미안포레아파트,101,헌릉로745길(구),1169,서울율현초등학교,273,세곡중학교,1519,풍문고등학교,939
서울특별시 강남구 자곡로11길 28,율현공원,1104,강남365치과의원,509,수서,1016,LH수서아파트,199,수서역북 공영주차장(시),1127,서울율현초등학교,573,수서중학교,1357,풍문고등학교,1108
서울특별시 강남구 자곡로3길 21,대모산도시자연공원,1078,서울베스트의원,136,일원,1386,세곡중학교.세명초등학교,353,일원터널 공영주차장(시),1452,서울세명초등학교,417,세곡중학교,323,풍문고등학교,1037
서울특별시 강남구 자곡로3길 22,대모산도시자연공원,1395,서울베스트의원,230,일원,1662,세곡중학교.세명초등학교,79,일원역 공영주차장(시),1747,서울세명초등학교,124,세곡중학교,236,풍문고등학교,804
서울특별시 강남구 테헤란로22길 72,도곡근린공원,1131,유진성형외과의원,180,역삼,568,역삼초교교차로(경유),233,역삼1문화센터 공영주차장(구),107,서울역삼초등학교,331,은성중학교,834,은광여자고등학교,834
서울특별시 강남구 테헤란로44길 26,도곡근린공원,1213,누브의원,151,선릉,403,한국자산신탁.센터필드,227,테헤란로64길(구),613,서울도성초등학교,280,진선여자중학교,258,진선여자고등학교,257
서울특별시 강남구 테헤란로52길 16,도곡근린공원,1360,동국해랑한의원,84,선릉,251,한국자산신탁.센터필드,207,테헤란로64길(구),481,서울도성초등학교,248,진선여자중학교,169,진선여자고등학교,169
서울특별시 강남구 학동로18길 23-1,도산근린공원,1592,첨성대한의원,134,학동,459,학동역6번출구,302,강남대로150길(구),796,서울논현초등학교,375,언북중학교,993,반포고등학교,1401
서울특별시 강남구 학동로20길 63-6,도산근린공원,1837,논현리뉴의원,43,논현,529,영동시장,414,언구비 공영주차장(구),744,서울논현초등학교,132,원촌중학교,1138,반포고등학교,1190
