기관명,병원경도,병원위도,주소,대표전화,진료시간(월요일)S,진료시간(월요일)C
GSR(지에스알)재활의학과의원,127.0263948,37.49835169,"서울특별시 서초구 서초대로77길 5, 8층 (서초동)",02-535-8288,1000,2100
강우곤치과의원,126.9870772,37.57396018,서울특별시 종로구 삼일대로 443,02-735-9779,1000,1800
365삼성의원,127.0521993,37.4964928,"서울특별시 강남구 도곡로 331, 7층 (역삼동)",02-555-0365,900,2100
강일코모키이비인후과의원,127.1738171,37.56562239,"서울특별시 강동구 아리수로93길 27, 304호 (강일동)",02-429-2687,900,1820
365서울원탑치과의원,126.8410394,37.5413957,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",02-6734-2828,930,2100
가나이비인후과의원,127.0120244,37.50215636,"서울특별시 서초구 서초중앙로 230, 4층 (반포동, 반포동화프라자)",02-3482-9901,900,1800
고려엔케이연합의원,126.854819,37.55846996,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 홈플러스 강서점)",02-3662-3661,1000,1830
가톨릭정형외과의원,126.9213842,37.59869917,"서울특별시 은평구 응암로 308, 1층, 2층 (응암동, CM빌딩)",02-354-9800,900,1830
고척으뜸내과의원,126.857533,37.49906919,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)",02-2687-7585,900,1900
건강한가정의학과의원,126.848126,37.53307979,서울특별시 강서구 강서로16길 32 (화곡동),02-2696-7511,900,1830
365엠씨의원,127.0161745,37.59302413,"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",02-924-3653,1100,2000
365코이의원,127.0247573,37.50631189,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",02-540-0442,1000,2330
365탑치과의원,126.9810128,37.47605668,"서울특별시 관악구 남부순환로 2082-25, 3층 (남현동)",02-588-2879,930,1830
곽내과의원,126.9712699,37.58125279,"서울특별시 종로구 자하문로 58, 3층 (창성동)",02-735-5135,840,1800
강남구립행복요양병원,127.1033226,37.46117663,"서울특별시 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)",02-6053-2114,930,1630
굿웰스의원,126.9450874,37.58835775,"서울특별시 서대문구 통일로 440, 2층 1호 (홍제동)",02-394-2007,830,1900
경이비인후과의원,127.0952833,37.54118611,"서울특별시 광진구 광나루로 608, (구의동)",02-452-5996,930,1830
교대화인마취통증의학과의원,127.0130585,37.49487567,"서울특별시 서초구 서초중앙로 147, 3층 (서초동, 서초법조타운)",02-6235-2215,930,1900
공릉치과의원,127.0734119,37.62340593,서울특별시 노원구 동일로 1045 (공릉동),02-974-1669,930,1800
815의원,127.0284471,37.52177869,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",02-515-8150,1000,1830
골든발란스여성의원,127.0215987,37.50960902,"서울특별시 서초구 강남대로 535, 프린스빌딩 9,10층 (반포동)",02-516-7148,1000,1900
권마취통증의학과의원,126.8904785,37.49013219,서울특별시 구로구 구로동로26길 115 (구로동),02-862-7582,930,2000
구원창문외과의원,126.9816651,37.48461547,"서울특별시 동작구 동작대로 89, 골든시네마타워 3층 301호 (사당동)",02-583-0009,930,1800
국립정신건강센터,127.0858052,37.56513373,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",02-2204-0114,900,1730
고성종의원,127.0627042,37.61671542,"서울특별시 노원구 석계로9길 33, (월계동)",02-942-2872,900,1800
금문치과의원,127.0663438,37.66412126,"서울특별시 노원구 노원로34길 116, 3층 (상계동)",02-739-1016,930,1800
88월드치과의원,126.8982128,37.49333597,"서울특별시 영등포구 도림로 144, 88월드타워 3층 (대림동)",02-832-7588,930,1830
88플러스내과의원,126.8112685,37.56405095,"서울특별시 강서구 방화동로 40, 2층 (공항동)",02-2661-8800,800,1800
광진하나치과의원,127.0697577,37.54395902,"서울특별시 광진구 능동로13길 39, 3층 (화양동)",02-498-4048,1000,1830
365엠씨람스의원,126.9066546,37.51696369,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",02-839-3653,1100,2000
365온(ON)가정의원,127.02471,37.56478,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",02-6212-0365,900,2200
구로성모의원,126.8856294,37.49346712,"서울특별시 구로구 가마산로 220, 동성빌딩 2층 (구로동)",02-853-7005,800,1700
SC제일산부인과의원,127.0856649,37.54471701,서울특별시 광진구 광나루로 506 (구의동),02-447-3111,900,2000
SJ서울삼정치과의원,127.034472,37.50776593,"서울특별시 강남구 봉은사로 205 (논현동, 상하빌딩 2층)",02-548-5528,1000,1900
SNU하안과의원,127.0651692,37.61523935,"서울특별시 노원구 화랑로 337, 4층 (월계동)",02-917-1175,830,1800
365올케어치과의원,127.0113052,37.5534784,"서울특별시 중구 동호로 171, 4층 (신당동)",02-2232-2911,930,2100
UC성심치과의원,127.0999204,37.59611136,"서울특별시 중랑구 용마산로 503, 5층 (망우동)",02-432-7528,930,1800
88플러스내과산부인과의원,127.0771013,37.62706167,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",02-972-8800,800,1800
WE(더블유이)의원,126.9039335,37.53315729,"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",02-518-0045,1000,1830
궁동의원,126.834427,37.49351635,"서울특별시 구로구 부일로15길 4, 201호 (궁동)",02-2612-2314,900,1800
그레이스치과의원,126.9932658,37.53465489,"서울특별시 용산구 이태원로 173, 3층 (이태원동)",02-794-7700,1000,1900
e-바른치과의원,126.8403459,37.54124132,"서울특별시 강서구 강서로 163, 3층 (화곡동, 콤마빌딩)",02-2697-8997,1000,1830
e-하얀치과의원,127.1183727,37.49678597,서울특별시 송파구 중대로9길 41,02-409-2275,930,1800
강남닥터에버스의원,127.0254633,37.50342024,"서울특별시 강남구 강남대로 458, 남영빌딩 8~9층 (역삼동)",02-2138-0777,1030,2100
기쁨정원치과병원,127.1018445,37.48802449,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",02-568-2879,930,1830
e365치과의원,126.9122423,37.57081547,서울특별시 서대문구 수색로 56 3층 (북가좌동),02-302-2365,930,1800
고려튼튼정형외과의원,126.9638464,37.56920505,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",02-733-1119,900,1900
금산부인과의원,126.874759,37.52230622,"서울특별시 양천구 신목로 86, 3층 (신정동)",02-2649-6412,900,1800
e원플란트치과의원,127.0619628,37.59590016,"서울특별시 동대문구 휘경로 15, 3층 (이문동)",02-963-2875,930,1830
koko코코치과의원,127.0745144,37.6199277,"서울특별시 노원구 동일로 1005, 대정빌딩 2층 (공릉동)",02-949-5552,945,1845
고운가정의학과의원,127.1550603,37.55983465,서울특별시 강동구 동남로79길 26 (고덕동),02-442-7579,900,1900
권명대치과의원,126.9766083,37.56223611,서울특별시 중구 세종대로 68 (태평로2가),02-755-5841,1000,1700
기분좋은연세365의원,126.9174065,37.59197641,"서울특별시 은평구 응암로 223, 2층 3층 (응암동)",02-372-0365,800,2100
가연관악산부인과의원,126.9539625,37.48043139,서울특별시 관악구 남부순환로 1838 (봉천동),02-885-7900,900,1800
고운이치과의원,127.0609156,37.48267539,서울특별시 강남구 선릉로 32,02-577-2825,930,1830
고운이치과의원,126.9479769,37.4866426,서울특별시 관악구 은천로 114 (봉천동),02-877-2252,1000,1830
국회사무처부속치과의원,126.9154301,37.53098126,서울특별시 영등포구 의사당대로 1,02-788-2823,1000,1800
곽치과의원,126.97175,37.57295833,"서울특별시 종로구 새문안로3길 30, 지하 118호 (내수동, 대우빌딩)",02-725-6348,900,1900
365봄연합의원,126.847971,37.56422771,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",02-2054-6717,900,2100
김경수정형외과의원,127.1268025,37.54028196,"서울특별시 강동구 구천면로 200, 2층 (천호동, 은평빌딩)",02-487-6300,930,1800
강남루덴치과의원,127.0259916,37.50002099,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 7층 (서초동)",02-2051-2875,1000,2100
굿모닝힐의원,126.9509875,37.51295238,"서울특별시 동작구 노량진로 225 (본동, 1층, 2층)",02-813-1972,900,1900
강남르시엘여성의원,127.0365074,37.48266832,"서울특별시 서초구 강남대로 206, 3층 (양재동)",02-529-0000,1000,2000
가산베스트치과의원,126.8789921,37.48449789,"서울특별시 금천구 가산디지털1로 219, 벽산디지털밸리6차 2층 214호 (가산동)",02-2627-3377,930,1830
고준영이비인후과의원,127.0629541,37.4938805,서울특별시 강남구 삼성로 155  (대치동),02-555-3234,930,1800
가락서울치과의원,127.1183069,37.49631121,"서울특별시 송파구 중대로9길 35, 3층 (가락동)",02-3012-0019,930,1800
강남박치과의원,127.0361572,37.50157849,"서울특별시 강남구 논현로 507, 305호 (역삼동, 성지하이츠 3차)",02-561-4959,1000,1800
홍은연세림(林)치과의원,126.9483553,37.59917798,"서울특별시 서대문구 홍은중앙로 100, 2층 (홍은동)",02-379-2274,930,1800
가락우리치과의원,127.11617,37.49103937,"서울특별시 송파구 송파대로27길 28, 동원빌딩 (문정동)",02-402-2828,930,1730
김안과의원,126.9674887,37.56446735,서울특별시 서대문구 통일로 107 (미근동),02-313-2509,930,1800
길치과의원,126.8399784,37.49471107,"서울특별시 구로구 경인로15길 4, SC메디칼센터 401호 (오류동)",02-532-3423,930,1800
김앤정스마일치과,126.8910116,37.48952243,서울특별시 구로구 도림로 67,02-858-2275,930,1830
가산테라치과의원,126.8896142,37.47453259,"서울특별시 금천구 디지털로10길 78, 가산테라타워 231,232호 (가산동)",02-837-2875,1000,1830
김용래치과의원,127.0221083,37.54813056,서울특별시 성동구 독서당로 285-1  (금호동4가),02-2297-2720,920,1630
강남아산재활의학과의원,127.0796816,37.4915622,"서울특별시 강남구 개포로110길 43, 2층 (일원동, 개포한신아파트)",02-3411-7578,900,1800
김세진소아청소년과의원,127.0404635,37.60182774,"서울특별시 성북구 화랑로 76, 지상1층 109-1,110호 (하월곡동, 코업스타클래스)",02-910-1255,900,2100
강남엔도내과의원,127.0516629,37.50061073,"서울특별시 강남구 역삼로 406, 2층 201호 (대치동)",02-566-6004,900,1800
365서울연합의원,127.1036374,37.60066104,"서울특별시 중랑구 망우로 463, 2층 (망우동)",02-432-7580,900,1800
강남밴스의원,127.0265109,37.49916032,"서울특별시 서초구 강남대로 411, 12~13층 (서초동)",02-6956-0133,900,2100
강동유외과의원,127.1362621,37.52922273,"서울특별시 강동구 양재대로 1377, 삼원빌딩 508-509호 (성내동)",02-470-2410,830,1730
광혜안과의원,127.0561141,37.4906822,서울특별시 강남구 남부순환로 2912,02-539-7658,930,1830
가람정신건강의학과의원,126.9014158,37.48212087,"서울특별시 관악구 시흥대로 552, 석천빌딩 7층 (신림동)",02-859-8500,900,1900
가산퍼스트정형외과의원,126.885103,37.48067083,"서울특별시 금천구 벚꽃로36길 30, 207~214호 (가산동)",1644-4930,900,2000
김영명이비인후과의원,127.0421098,37.60386367,"서울특별시 성북구 화랑로11길 35, (하월곡동)",02-943-7562,900,1800
구명진이비인후과의원,126.9867401,37.50103881,"서울특별시 서초구 신반포로19길 10, H동 13-2호 (반포동, 반포아파트상가)",02-593-2414,1000,1730
김영재의원,127.0440575,37.52720946,"서울특별시 강남구 압구정로 429, 4층 2호 (청담동)",02-546-7171,930,1830
365아이디의원,126.8643914,37.5303245,"서울특별시 양천구 등촌로 2, 202호 (목동)",02-2644-5572,900,2100
365엠씨(mc)람스에스씨(SC)의원,127.0255112,37.50136341,"서울특별시 서초구 강남대로 437, 대원빌딩 3층 (서초동)",070-4010-7781,1100,2000
e-좋은치과의원,127.0239043,37.63114248,"서울특별시 강북구 도봉로 255, 4층 (수유동)",02-986-2804,930,1830
가바치과교정과치과의원,127.0238352,37.63566409,"서울특별시 강북구 도봉로 308, 북한산스카이빌딩 5층 503호 (번동)",02-990-2080,1000,1830
가산시그니처정형외과의원,126.8793112,37.48102816,"서울특별시 금천구 가산디지털2로 144, 현대테라타워 가산DK 2층 211,212,213,214호 (가산동)",02-6959-0675,900,1900
강북성모내과의원,127.0255973,37.62686488,"서울특별시 강북구 도봉로 205, 3층 (미아동)",02-6011-3259,830,1830
김동기치과의원,126.9014243,37.45355937,"서울특별시 금천구 시흥대로 220, (시흥동)",02-803-4279,1000,1730
365엠씨(mc)의원,127.1267682,37.53720733,"서울특별시 강동구 천호대로 1034, 3층 301호 (성내동, 탑 메디칼센타)",02-475-3657,1100,2000
가야치과병원,126.9922893,37.48929927,"서울특별시 서초구 방배로 177, 4~6층 (방배동)",02-599-2472,900,1800
가양삼성정형외과의원,126.854473,37.56106837,"서울특별시 강서구 양천로 490, 401, 501호 (등촌동)",02-2668-9934,900,1930
가온정신건강의학과의원,127.0697473,37.54049856,"서울특별시 광진구 아차산로 237, 삼진빌딩 4층 401호 (화양동)",02-464-6051,930,1900
강북센트럴정형외과의원,127.0196716,37.61072526,"서울특별시 성북구 삼양로13길 45, 길음뉴타운,e편한세상 상가동 2층 204,207호 (길음동)",02-6221-7788,900,1900
그레이스미의원,127.0574066,37.5680105,"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 2층 202호 (답십리동)",02-2212-4700,1000,1900
김영우신경정신과의원,127.0240977,37.63693831,서울특별시 강북구 도봉로 321,02-903-7201,930,1800
365웰정형외과재활의학과의원,127.1202597,37.50661178,"서울특별시 송파구 오금로 239, 365웰빌딩 지하1층, 2~5층 1층 103호 (방이동)",02-425-0365,900,1900
365엠씨(mc)병원,127.0141152,37.49299055,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",0234743653,1100,2000
김지수치과의원,126.9373261,37.52135273,서울특별시 영등포구 63로 45,02-782-1090,1000,1700
김용훈정형외과의원,127.0515539,37.48733867,"서울특별시 강남구 언주로30길 10, 현대비전21 310호 (도곡동)",02-2135-7721,900,1900
김화규치과의원,126.9817445,37.55822471,"서울특별시 중구 소공로 35, 307호 (회현동1가, 롯데캐슬아이리스 상가동)",02-776-4626,1000,1700
(의)열린의료재단은평열린의원,126.9164773,37.61128641,"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",02-354-7168,900,1730
김용철외과의원,126.9814896,37.481188,서울특별시 동작구 동작대로 51 (사당동),02-523-5544,900,1830
김승만내과의원,127.0180895,37.62967969,"서울특별시 강북구 삼양로 294 (수유동, 김승만내과의원)",02-981-0550,930,1800
김재형치과의원,127.0765197,37.50865223,"서울특별시 송파구 올림픽로4길 17 (잠실동, 아시아선수촌A 중심상가 314호)",02-415-2875,1000,1800
김정범치과의원,127.0071559,37.53355331,서울특별시 용산구 한남대로 57,02-794-7083,900,1800
강철병원,127.0942968,37.50234558,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",02-6287-5500,900,1800
나은치과의원,127.0236771,37.58699666,"서울특별시 성북구 인촌로13길 8, 5층 (안암동2가,창해빌딩)",02-922-2788,1000,1600
김능원치과의원,126.9272656,37.52020619,서울특별시 영등포구 국제금융로8길 34,02-782-4847,1100,1800
가이드치과의원,127.0426636,37.46436232,"서울특별시 서초구 강남대로 27, AT센터 B1-17호 (양재동)",02-6300-8988,1000,1800
가족사랑서울정신건강의학과의원,126.9278966,37.49946331,서울특별시 동작구 보라매로 113 (대방동),02-812-9494,930,1830
가좌서울치과의원,126.9113975,37.57959674,"서울특별시 서대문구 응암로 76, 2층 (북가좌동)",02-6380-2879,930,2030
가톨릭정형외과의원,127.0881366,37.58399168,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",02-2207-7711,900,1800
김내과의원,126.90436,37.46281699,서울특별시 금천구 독산로 174  (독산동),02-802-0919,900,1800
e하임치과의원,126.973527,37.48320808,"서울특별시 동작구 사당로 234, 4층 (사당동)",02-3486-2875,930,1830
김기환치과의원,126.9880484,37.50176065,"서울특별시 서초구 신반포로 31, 1동 301호 (반포동, 반포아파트상가)",02-591-7762,930,1800
가지런S치과의원,126.8375818,37.54056658,"서울특별시 강서구 화곡로 142 (화곡동, 메가박스)",02-2603-2879,1000,1900
김한욱치과의원,126.9047381,37.47973845,"서울특별시 금천구 남부순환로 1386, (독산동)",02-868-0652,1000,1800
가톨릭정형외과의원,127.0377809,37.50886315,"서울특별시 강남구 언주로 601, 파크랜드빌딩 3층 (논현동)",02-554-7575,900,1800
가화한방병원,127.0343889,37.66282415,서울특별시 도봉구 도당로 51(방학동),02-955-1772,900,1800
김선태내과의원,126.9827093,37.48725017,서울특별시 서초구 동작대로 120 (방배동),02-599-2552,900,1800
나무의원,127.1242425,37.50953106,"서울특별시 송파구 마천로 29, 5층 (방이동)",02-422-7799,1000,1830
김정일안과의원,126.9178066,37.6111822,"서울특별시 은평구 서오릉로 138, 3층 (대조동)",02-383-8686,900,1800
남구로호담치과의원,126.8860037,37.49004435,"서울특별시 구로구 구로동로26길 36, 201호 (구로동)",02-853-7528,830,1900
김미경소아과의원,126.9266432,37.60864363,"서울특별시 은평구 진흥로 150, 2층 (녹번동)",02-355-8234,900,1800
365엠씨의원,127.0215161,37.5166065,"서울특별시 강남구 도산대로 116, 논현빌딩 2층, 3층(동측), 3층일부(서측) (논현동)",02-2039-5850,1100,2000
강남푸른안과의원,127.0290704,37.49603503,"서울특별시 강남구 강남대로 372, FINE TOWER 7층 (역삼동)",02-6956-8882,900,1800
(의)열린의료재단혜화열린의원,127.0182186,37.59415628,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",02--929-2375,900,1600
감동플러스치과의원,126.931437,37.60143562,"서울특별시 은평구 은평로 213, 2층 (녹번동)",02-6394-2828,1000,2100
김치과의원,127.1427662,37.53660865,서울특별시 강동구 천호대로187길 53 (길동),02-485-6497,1000,1830
강플란트치과의원,126.9114362,37.61409914,서울특별시 은평구 서오릉로 202 (갈현동),02-383-2275,930,1830
김승록치과의원,126.8387889,37.55948333,서울특별시 강서구 강서로 380 (등촌동),02-2659-2875,1000,1800
강남365치과의원,127.1047139,37.47537759,서울특별시 강남구 자곡로 201 2층 (자곡동),024512804,1000,1900
김영민내과의원,127.0506773,37.51281112,서울특별시 강남구 봉은사로73길 5  (삼성동),02-567-5770,930,1830
노블안과의원,127.0244658,37.50210083,"서울특별시 서초구 강남대로 407, 8층 (서초동)",02-599-0110,930,1830
강남루덴플러스치과의원,127.0299057,37.49906121,"서울특별시 강남구 테헤란로 115, 2층 (역삼동)",0220512875,1000,2100
강남리슬림의원,127.025561,37.50117761,"서울특별시 서초구 강남대로 435, 주류성빌딩 14층 (서초동)",02-536-3962,1030,1930
강남리즈산부인과의원,127.0266717,37.50096626,"서울특별시 강남구 강남대로 430, 8층 (역삼동)",02-558-5538,1000,1900
건강그린내과의원,126.9201202,37.61780002,서울특별시 은평구 연서로 216 (대조동),02-358-3355,830,1800
가락삼성치과의원,127.1087136,37.49453769,"서울특별시 송파구 양재대로 932, 가락시장 업무동 5층 17호 (가락동, 가락동 농수산물도매시장)",02-431-2804,830,1730
강남맨포스비뇨기과의원,127.0193177,37.51503598,서울특별시 서초구 강남대로 597 진미선 (잠원동),02-3444-7275,930,1830
노즈랩의원,127.0215745,37.51151285,"서울특별시 강남구 강남대로 556, 논현빌딩 3층 (논현동)",0507-1483-0302,1000,1900
뉴욕플러스치과의원,127.1063337,37.52080027,"서울특별시 송파구 올림픽로 435, 507호 (신천동, 파크리오상가A동)",02-412-4234,1000,1800
강남브라운치과의원,127.0225948,37.50736641,"서울특별시 서초구 강남대로85길 5, 대유빌딩 8층 (반포동)",02-3481-2828,1000,1830
노영서치과의원,127.0280562,37.52413326,"서울특별시 강남구 논현로 841, 307호 (신사동, 제이비미소빌딩)",02-3445-9314,1000,1830
365엠씨의원,126.9356803,37.55517792,"서울특별시 마포구 신촌로 92, 7,10층 (노고산동)",02-3142-3657,1100,2000
강남메이퓨어의원,127.0306312,37.49443318,"서울특별시 강남구 역삼로1길 18, 3층 일부층 (역삼동)",02-6959-5676,1030,2030
강남미래영상의학과의원,127.0292864,37.49766742,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 3층 310호 (역삼동)",02-6949-3378,900,1800
나무치과의원,127.0332915,37.48513479,"서울특별시 서초구 강남대로 243, 2층 (서초동, 위더스빌딩)",02-1644-5057,930,1800
눈에힘안과의원,126.9002463,37.48253994,"서울특별시 구로구 시흥대로 551, 광희빌딩 5층 (구로동)",02-2039-9322,900,1830
뉴강서성심의원,126.8088023,37.5732901,"서울특별시 강서구 양천로 45-5, 강서성모병원 (방화동)",02-2665-0911,900,1900
김인철치과의원,127.1234508,37.53997494,서울특별시 강동구 올림픽로 653 (천호동),02-483-2440,1000,1830
김인섭의원,127.0209585,37.48649994,"서울특별시 서초구 서리풀길 1, 2층 (서초동)",02-529-4318,900,1830
젲다의원,127.0489504,37.52475474,"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",02-3442-7588,1000,1900
강남미라인치과의원,127.0261278,37.50924194,"서울특별시 강남구 학동로6길 48, 3층 (논현동)",15772804,1000,2100
강남본정형외과의원,127.0973381,37.5027783,"서울특별시 송파구 백제고분로 275 (석촌동, 지하1층일부,2층일부,5층,6층)",02-1899-4320,900,1800
김이비인후과의원,127.033775,37.50824167,"서울특별시 강남구 논현로 610, (논현동)",02-544-2844,900,1900
(재)이랜드재단 이랜드의원,126.8815811,37.48191309,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",02-2635-8668,800,1700
강남에프엠의원,127.0287989,37.49657399,"서울특별시 강남구 강남대로 376, 5층 (역삼동)",02-553-0919,1000,1900
강남베드로병원,127.0395873,37.48561218,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,0,2359
김정희이비인후과의원,127.1207951,37.49834055,"서울특별시 송파구 송이로 87 (가락동, 3층)",02-448-4589,930,1730
김치과의원,127.1227639,37.48941389,"서울특별시 송파구 동남로 102, 401호 (문정동,현윤빌딩)",02-406-9798,1000,1800
(의)미래의료재단미래치과의원,127.0588872,37.50800316,"서울특별시 강남구 테헤란로 513 (삼성동, 지하1층일부)",02-540-0001,900,1800
365연세의원,127.0240825,37.56660293,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",02-2291-2211,900,1830
강남엔스트의원,127.0312077,37.52346385,"서울특별시 강남구 논현로168길 35, 목산빌딩 지하1층 남측호 (신사동)",02-6227-7733,1000,1900
365열린가정의학과의원,127.0546682,37.49736891,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",02-565-7119,900,2000
