기관명,병원경도,병원위도,주소,대표전화,진료시간(월요일)S,진료시간(월요일)C
365매일한방병원,127.024344406042,37.5753483891625,"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",02-929-0365,900,2030
강남그랜드치과의원,127.0235193056,37.5037879786,"서울특별시 서초구 사평대로 368, 중앙빌딩 5층 (서초동)",02-6348-2888,1000,1900
365열린치과의원,126.910748289958,37.507058335897,"서울특별시 영등포구 신길로 167, 301호 (신길동)",02-853-7528,930,1800
골든라인의원,127.029718326693,37.5269934647885,"서울특별시 강남구 논현로176길 14, 2층 일부 (신사동)",02-542-7009,1000,1900
365메트로의원,127.021657861669,37.5111988300765,"서울특별시 강남구 학동로 지하102, 논현역 212호 (논현동)",02-3487-8777,800,1930
365청추나한의원,126.926662375326,37.6010893852841,"서울특별시 은평구 은평로 170, 상현빌딩 2층 205호 (응암동)",02-359-1275,900,2100
(의)열린의료재단오경식의원,126.891852633222,37.4977293058869,"서울특별시 구로구 가마산로27길 14, 신원빌딩 2층 (구로동)",02-861-4658,900,1700
강남하이텍의원,127.124913859704,37.4796683841344,"서울특별시 송파구 송파대로 111, 205동 412,415호 (문정동, 파크하비오)",02-403-7788,900,1800
경희삼성한의원,126.9329986313,37.4724775165,서울특별시 관악구 신림로 151 (신림동),02-883-0233,900,1900
CBK최영균치과의원,127.075326139356,37.6219534132134,"서울특별시 노원구 동일로180길 14, 공릉쇼핑센타 3층 (공릉동)",02-978-1506,930,1830
고려MS영상의학과의원,126.888807280468,37.495860314768,"서울특별시 구로구 구로중앙로 68, 4층409,410호 (구로동,신인타워)",02-830-2564,900,1800
고려M영상의학과의원,127.023557307449,37.5750052699082,"서울특별시 동대문구 천호대로 2, 이지빌딩 5층 (신설동)",02-2234-2226,900,1800
경희동서한의원,127.1301343938,37.5416472221,"서울특별시 강동구 구천면로 233, 한양메디스퀘어 6층층 (천호동)",02-452-7075,900,1900
2080치과의원,127.10604999999998,37.50533055555556,"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",02-417-0275,930,1830
호산소아청소년과의원,126.9312027152,37.5225616247,"서울특별시 영등포구 국제금융로7길 3, 210호 (여의도동)",02-783-7004,1000,1700
CNP차앤박피부과의원,126.924993896764,37.5227019151559,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",02-786-5123,1030,1940
강남준성형외과의원,127.0210421821,37.5106505,"서울특별시 서초구 강남대로 547, 2층 (반포동, 한국교과서연구재단빌딩)",02-533-0285,1000,1900
365문정사랑의원,127.127244307271,37.4869810920009,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",02-431-1339,900,2030
골드치과의원,127.082165866147,37.5357350021337,서울특별시 광진구 자양로15길 26 2층 (자양동),02-444-2878,930,1830
강서온정한의원,126.8110813709,37.5736504764,"서울특별시 강서구 금낭화로 91-2, 대승프라자 4층 401호 (방화동)",02-2064-3100,930,2000
GSR(지에스알)재활의학과의원,127.026394763383,37.4983516923932,"서울특별시 서초구 서초대로77길 5, 8층 (서초동)",02-535-8288,1000,2100
강산한의원,126.8353902740088,37.54784991747991,"서울특별시 강서구 강서로45길 13, 3층 (화곡동)",02-2608-7510,900,1800
강우곤치과의원,126.98707723178786,37.573960183476096,서울특별시 종로구 삼일대로 443,02-735-9779,1000,1800
365본맥한의원,127.009548383853,37.6091103235132,"서울특별시 성북구 보국문로 51, 2층 (정릉동, 안진빌딩)",02-943-2500,900,2100
365삼성의원,127.052199273657,37.4964928018315,"서울특별시 강남구 도곡로 331, 7층 (역삼동)",02-555-0365,900,2100
강일코모키이비인후과의원,127.1738171036809,37.56562239138539,"서울특별시 강동구 아리수로93길 27, 304호 (강일동)",02-429-2687,900,1820
365서울원탑치과의원,126.8410394342,37.541395697,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",02-6734-2828,930,2100
가나이비인후과의원,127.012024373585,37.5021563648911,"서울특별시 서초구 서초중앙로 230, 4층 (반포동, 반포동화프라자)",02-3482-9901,900,1800
고려엔케이연합의원,126.854819012937,37.5584699599397,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 홈플러스 강서점)",02-3662-3661,1000,1830
광개토한의원,127.140347239304,37.5552528493133,"서울특별시 강동구 고덕로 131 (암사동, 강동롯데캐슬퍼스트아파트)",02-428-1441,930,1900
가톨릭정형외과의원,126.921384169108,37.5986991732052,"서울특별시 은평구 응암로 308, 1층, 2층 (응암동, CM빌딩)",02-354-9800,900,1830
감초한의원,126.87409335737765,37.49564300327747,"서울특별시 구로구 구일로8길 56, 구일프라자 (구로동)",02-852-5017,930,1900
경희예가한의원,127.045747691089,37.5051902735793,"서울특별시 강남구 테헤란로51길 23, 3층 304호 (역삼동)",02-549-7778,930,1830
365소리안한의원,127.040183821914,37.5171405161205,"서울특별시 강남구 학동로 339, 세한빌딩 2층 (논현동)",02-511-8805,1000,2100
365송파한의원,127.13319570273,37.5073970930133,"서울특별시 송파구 중대로 304, 3층 (오금동)",02-430-6610,930,1930
고척으뜸내과의원,126.857532971967,37.4990691887707,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)",02-2687-7585,900,1900
게이트성형외과의원,127.02479086770352,37.50490856937278,"서울특별시 강남구 강남대로 476, urbanhive 10층 (논현동)",02-532-3100,1000,1900
365쌩쌩한의원,127.116477135427,37.507019941349,"서울특별시 송파구 가락로 210, 102호 (송파동)",02-6958-8803,900,2000
경희제일한의원,127.134984382011,37.53803417620658,"서울특별시 강동구 성안로25길 6, 상가 204호 (천호동, 삼성아파트)",02-484-3475,930,1900
경희이끌림한의원,127.1089785725,37.50373644729999,"서울특별시 송파구 송파대로 408, 하림빌딩 2층 (송파동)",02-574-0075,1000,1900
강원한의원,127.034849358762,37.5226263457201,"서울특별시 강남구 언주로152길 14, 로데오빌딩 5층 (신사동)",02-792-1991,930,1830
건강한가정의학과의원,126.8481260381,37.5330797875,서울특별시 강서구 강서로16길 32 (화곡동),02-2696-7511,900,1830
강피부과의원,126.94755588224808,37.48700372780386,"서울특별시 관악구 은천로 109, 2층 201호 (봉천동, 한독빌딩)",02-3476-8275,900,1800
365엠씨의원,127.016174486678,37.5930241251186,"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",02-924-3653,1100,2000
강남경희한의원,127.027705111719,37.4943931800281,"서울특별시 서초구 강남대로53길 12, 솔라티움시티 강남 1동 6층 601호 (서초동)",02-582-1235,1000,1800
365어울림한의원,126.846078953518,37.5443896345677,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",02-6949-2542,900,2030
365코이의원,127.024757288909,37.5063118920787,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",02-540-0442,1000,2330
갸름한성형외과의원,127.02857918568112,37.49784022341722,"서울특별시 강남구 강남대로 390, 21층 (역삼동)",02-535-6688,930,1830
365탑치과의원,126.981012772295,37.4760566794321,"서울특별시 관악구 남부순환로 2082-25, 3층 (남현동)",02-588-2879,930,1830
곽내과의원,126.971269860764,37.5812527890293,"서울특별시 종로구 자하문로 58, 3층 (창성동)",02-735-5135,840,1800
강남구립행복요양병원,127.10332264232,37.4611766303736,"서울특별시 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)",02-6053-2114,930,1630
계룡한의원,126.96213863784642,37.55165988599335,"서울특별시 마포구 만리재로 133, 4층 (아현동, 계룡빌딩)",02-392-1900,830,1830
경희무릅나무한의원,127.05004373481827,37.50575472338361,"서울특별시 강남구 테헤란로63길 9, 201,202,203호 (삼성동)",02-3437-7577,930,1800
경희우소홍한의원,126.9312992889,37.5208713999,"서울특별시 영등포구 국제금융로 78, 303호 (여의도동, 홍우빌딩)",02-780-3575,900,1900
굿웰스의원,126.945087444151,37.5883577541129,"서울특별시 서대문구 통일로 440, 2층 1호 (홍제동)",02-394-2007,830,1900
경이비인후과의원,127.09528333333331,37.54118611111111,"서울특별시 광진구 광나루로 608, (구의동)",02-452-5996,930,1830
경희호강한의원,126.9169226113,37.4852544287,서울특별시 관악구 조원로 132 (신림동),02-858-0875,930,2000
교대화인마취통증의학과의원,127.013058470945,37.4948756733211,"서울특별시 서초구 서초중앙로 147, 3층 (서초동, 서초법조타운)",02-6235-2215,930,1900
공릉치과의원,127.073411876507,37.6234059297882,서울특별시 노원구 동일로 1045 (공릉동),02-974-1669,930,1800
365황금손한의원,126.914364402765,37.4812450067843,"서울특별시 관악구 난곡로 305, 대영빌딩 3층 (신림동)",02-868-0365,900,2100
815의원,127.028447137115,37.5217786860123,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",02-515-8150,1000,1830
국중연한의원,127.08673707315072,37.50872369764408,"서울특별시 송파구 석촌호수로 84 (잠실동,2층 제1호,2호)",02-420-2062,900,1900
경희설한의원,127.036674157,37.4844742455,"서울특별시 서초구 남부순환로 2614, 307호 (양재동)",02-3431-1711,1000,1900
골든발란스여성의원,127.021598701287,37.5096090184365,"서울특별시 서초구 강남대로 535, 프린스빌딩 9,10층 (반포동)",02-516-7148,1000,1900
권마취통증의학과의원,126.890478535204,37.4901321937348,서울특별시 구로구 구로동로26길 115 (구로동),02-862-7582,930,2000
구원창문외과의원,126.98166514808764,37.4846154681034,"서울특별시 동작구 동작대로 89, 골든시네마타워 3층 301호 (사당동)",02-583-0009,930,1800
국립정신건강센터,127.08580524081464,37.56513373373313,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",02-2204-0114,900,1730
고성종의원,127.06270416111246,37.61671542317573,"서울특별시 노원구 석계로9길 33, (월계동)",02-942-2872,900,1800
경희아인한의원,127.124975762766,37.540555377209,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",02-430-5575,1000,2100
금문치과의원,127.066343842164,37.6641212564289,"서울특별시 노원구 노원로34길 116, 3층 (상계동)",02-739-1016,930,1800
88월드치과의원,126.89821279355,37.493335973391,"서울특별시 영등포구 도림로 144, 88월드타워 3층 (대림동)",02-832-7588,930,1830
88플러스내과의원,126.811268489685,37.5640509513824,"서울특별시 강서구 방화동로 40, 2층 (공항동)",02-2661-8800,800,1800
광진하나치과의원,127.069757721395,37.543959020957,"서울특별시 광진구 능동로13길 39, 3층 (화양동)",02-498-4048,1000,1830
365엠씨람스의원,126.906654619916,37.5169636928472,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",02-839-3653,1100,2000
365온(ON)가정의원,127.024709957671,37.5647799977176,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",02-6212-0365,900,2200
가다정한의원,127.079543523196,37.5565941097975,"서울특별시 광진구 능동로 302, 3층 (능동)",02-6949-3654,900,2100
경희불로장생한의원,127.14396212238648,37.53955527199064,서울특별시 강동구 천중로52길 27,02-484-6006,800,2000
광남한의원,127.005608148003,37.5714610810276,서울특별시 종로구 종로 251-3(종로5가),02-742-7374,1000,1600
CBK성형외과의원,127.035012857641,37.5079322777816,"서울특별시 강남구 봉은사로 209, 7층 (논현동)",02-2088-7027,1000,1900
구로성모의원,126.8856293632177,37.49346711925848,"서울특별시 구로구 가마산로 220, 동성빌딩 2층 (구로동)",02-853-7005,800,1700
금호경희한의원,127.02304898938792,37.54836604721704,"서울특별시 성동구 독서당로 307-1, 3층 (금호동3가)",02-2254-0088,930,1830
경희예가한의원,127.04948913692306,37.51540291236811,"서울특별시 강남구 봉은사로73길 47, 1층 (삼성동)",02-549-7778,1000,1800
SC제일산부인과의원,127.085664922443,37.5447170145947,서울특별시 광진구 광나루로 506 (구의동),02-447-3111,900,2000
SJ서울삼정치과의원,127.034472042487,37.5077659311428,"서울특별시 강남구 봉은사로 205 (논현동, 상하빌딩 2층)",02-548-5528,1000,1900
SNU하안과의원,127.065169222212,37.6152393519423,"서울특별시 노원구 화랑로 337, 4층 (월계동)",02-917-1175,830,1800
365올케어치과의원,127.011305155237,37.553478403261,"서울특별시 중구 동호로 171, 4층 (신당동)",02-2232-2911,930,2100
UC성심치과의원,127.099920402648,37.5961113613677,"서울특별시 중랑구 용마산로 503, 5층 (망우동)",02-432-7528,930,1800
88플러스내과산부인과의원,127.07710132272,37.6270616730914,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",02-972-8800,800,1800
WE(더블유이)의원,126.903933458671,37.5331572915693,"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",02-518-0045,1000,1830
김덕현피부과의원,127.02246462083,37.5095904764341,서울특별시 강남구 강남대로 532,02-549-8599,1000,1800
궁동의원,126.834426968582,37.4935163491463,"서울특별시 구로구 부일로15길 4, 201호 (궁동)",02-2612-2314,900,1800
그레이스치과의원,126.9932657923,37.5346548931,"서울특별시 용산구 이태원로 173, 3층 (이태원동)",02-794-7700,1000,1900
e-바른치과의원,126.840345915343,37.5412413213065,"서울특별시 강서구 강서로 163, 3층 (화곡동, 콤마빌딩)",02-2697-8997,1000,1830
e-하얀치과의원,127.118372709683,37.4967859701532,서울특별시 송파구 중대로9길 41,02-409-2275,930,1800
강남닥터에버스의원,127.025463289506,37.5034202356057,"서울특별시 강남구 강남대로 458, 남영빌딩 8~9층 (역삼동)",02-2138-0777,1030,2100
기쁨정원치과병원,127.101844450006,37.4880244867416,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",02-568-2879,930,1830
e365치과의원,126.912242300278,37.5708154693004,서울특별시 서대문구 수색로 56 3층 (북가좌동),02-302-2365,930,1800
경희태화당한의원,126.91600428344329,37.57022183306273,"서울특별시 서대문구 수색로2길 6, 2층 (남가좌동)",02-309-9911,930,1800
고려튼튼정형외과의원,126.96384636698409,37.56920504834941,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",02-733-1119,900,1900
가디한의원,127.007522043909,37.4830944873651,"서울특별시 서초구 남부순환로315길 104, 성누가의원 2층 (서초동)",02-523-8408,1000,1900
금산부인과의원,126.87475899974412,37.52230622071717,"서울특별시 양천구 신목로 86, 3층 (신정동)",02-2649-6412,900,1800
e원플란트치과의원,127.061962760963,37.5959001609367,"서울특별시 동대문구 휘경로 15, 3층 (이문동)",02-963-2875,930,1830
koko코코치과의원,127.074514434411,37.6199276979518,"서울특별시 노원구 동일로 1005, 대정빌딩 2층 (공릉동)",02-949-5552,945,1845
고운가정의학과의원,127.15506030344784,37.55983464659188,서울특별시 강동구 동남로79길 26 (고덕동),02-442-7579,900,1900
김범한의원,126.9292430228,37.4990118186,"서울특별시 동작구 국사봉1길 11, 대룡빌딩 (상도동)",02-823-1007,1000,2030
권명대치과의원,126.97660833333332,37.56223611111111,서울특별시 중구 세종대로 68 (태평로2가),02-755-5841,1000,1700
기분좋은연세365의원,126.9174064996745,37.59197641308605,"서울특별시 은평구 응암로 223, 2층 3층 (응암동)",02-372-0365,800,2100
가연관악산부인과의원,126.953962484327,37.480431385536,서울특별시 관악구 남부순환로 1838 (봉천동),02-885-7900,900,1800
고운이치과의원,127.06091564644528,37.48267539190812,서울특별시 강남구 선릉로 32,02-577-2825,930,1830
고운이치과의원,126.9479768524914,37.48664259719149,서울특별시 관악구 은천로 114 (봉천동),02-877-2252,1000,1830
국회사무처부속치과의원,126.91543005028254,37.53098126238796,서울특별시 영등포구 의사당대로 1,02-788-2823,1000,1800
골든뷰성형외과의원,127.04655572360237,37.52623959153097,"서울특별시 강남구 압구정로 449, 3층 (청담동, 청하빌딩)",02-555-0184,1000,1900
가넷성형외과의원,127.029366308026,37.5239285235536,"서울특별시 강남구 압구정로30길 51, I.S.A 빌딩 5층 (신사동)",02-517-8800,1000,1900
고운결한의원,127.124975762766,37.540555377209,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",02-6954-1073,1030,2100
곽치과의원,126.97175,37.572958333333325,"서울특별시 종로구 새문안로3길 30, 지하 118호 (내수동, 대우빌딩)",02-725-6348,900,1900
365봄연합의원,126.847971033372,37.5642277147695,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",02-2054-6717,900,2100
김경수정형외과의원,127.126802458449,37.540281958736,"서울특별시 강동구 구천면로 200, 2층 (천호동, 은평빌딩)",02-487-6300,930,1800
가한의원,126.8759309561438,37.54961137008601,서울특별시 강서구 양천로 719 (염창동),02-3664-0036,930,1700
강남루덴치과의원,127.025991620906,37.5000209859136,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 7층 (서초동)",02-2051-2875,1000,2100
굿모닝힐의원,126.9509875396,37.5129523806,"서울특별시 동작구 노량진로 225 (본동, 1층, 2층)",02-813-1972,900,1900
365봄한의원,126.935407233318,37.602472019451,"서울특별시 은평구 통일로 626, 유림빌딩 2층 (녹번동)",02-6949-2575,930,2030
강남르시엘여성의원,127.036507410115,37.4826683155589,"서울특별시 서초구 강남대로 206, 3층 (양재동)",02-529-0000,1000,2000
가산베스트치과의원,126.878992112173,37.4844978892408,"서울특별시 금천구 가산디지털1로 219, 벽산디지털밸리6차 2층 214호 (가산동)",02-2627-3377,930,1830
고준영이비인후과의원,127.0629541135,37.4938804973,서울특별시 강남구 삼성로 155  (대치동),02-555-3234,930,1800
가락서울치과의원,127.118306937019,37.4963112057974,"서울특별시 송파구 중대로9길 35, 3층 (가락동)",02-3012-0019,930,1800
강남박치과의원,127.036157208818,37.5015784938059,"서울특별시 강남구 논현로 507, 305호 (역삼동, 성지하이츠 3차)",02-561-4959,1000,1800
홍은연세림(林)치과의원,126.948355286668,37.5991779769096,"서울특별시 서대문구 홍은중앙로 100, 2층 (홍은동)",02-379-2274,930,1800
가락우리치과의원,127.116169965123,37.4910393744417,"서울특별시 송파구 송파대로27길 28, 동원빌딩 (문정동)",02-402-2828,930,1730
김안과의원,126.967488731674,37.5644673535992,서울특별시 서대문구 통일로 107 (미근동),02-313-2509,930,1800
길치과의원,126.839978443358,37.4947110746689,"서울특별시 구로구 경인로15길 4, SC메디칼센터 401호 (오류동)",02-532-3423,930,1800
김앤정스마일치과,126.891011550623,37.4895224344356,서울특별시 구로구 도림로 67,02-858-2275,930,1830
가산테라치과의원,126.889614189767,37.4745325914718,"서울특별시 금천구 디지털로10길 78, 가산테라타워 231,232호 (가산동)",02-837-2875,1000,1830
김용래치과의원,127.02210833333332,37.54813055555555,서울특별시 성동구 독서당로 285-1  (금호동4가),02-2297-2720,920,1630
강남아산재활의학과의원,127.079681552221,37.4915621995587,"서울특별시 강남구 개포로110길 43, 2층 (일원동, 개포한신아파트)",02-3411-7578,900,1800
김세진소아청소년과의원,127.040463515854,37.6018277386458,"서울특별시 성북구 화랑로 76, 지상1층 109-1,110호 (하월곡동, 코업스타클래스)",02-910-1255,900,2100
김정곤한의원,127.03064585695417,37.52752039517692,서울특별시 강남구 논현로176길 28(신사동),02-514-0006,930,1830
강남엔도내과의원,127.051662924506,37.5006107262726,"서울특별시 강남구 역삼로 406, 2층 201호 (대치동)",02-566-6004,900,1800
365서울연합의원,127.103637419702,37.6006610422709,"서울특별시 중랑구 망우로 463, 2층 (망우동)",02-432-7580,900,1800
강남밴스의원,127.026510850477,37.4991603195447,"서울특별시 서초구 강남대로 411, 12~13층 (서초동)",02-6956-0133,900,2100
강동유외과의원,127.136262071919,37.5292227276953,"서울특별시 강동구 양재대로 1377, 삼원빌딩 508-509호 (성내동)",02-470-2410,830,1730
광화문허브한의원,126.97898707560448,37.56763335699527,"서울특별시 중구 무교로 19, 더익스체인지서울몰 4층 (무교동)",02-3446-1075,900,2000
광혜안과의원,127.05611405159809,37.49068219947121,서울특별시 강남구 남부순환로 2912,02-539-7658,930,1830
가람정신건강의학과의원,126.90141580988102,37.48212087405279,"서울특별시 관악구 시흥대로 552, 석천빌딩 7층 (신림동)",02-859-8500,900,1900
가산퍼스트정형외과의원,126.885102981454,37.480670830247,"서울특별시 금천구 벚꽃로36길 30, 207~214호 (가산동)",1644-4930,900,2000
365서울한의원,126.89426342919,37.4909734883501,"서울특별시 구로구 도림로26길 10, 해맑은미소 5,6층 (구로동)",02-1661-1409,900,1900
김영명이비인후과의원,127.042109752805,37.6038636712014,"서울특별시 성북구 화랑로11길 35, (하월곡동)",02-943-7562,900,1800
가람한의원,126.864535361,37.5082861466,"서울특별시 양천구 목동남로4길 2, 2층 201호 (신정동, 세양청마루상가)",02-2062-1175,900,2000
교대한의원,127.0152610295,37.4924042172,"서울특별시 서초구 서초중앙로20길 21, 202호호 (서초동, 우정빌딩)",02-585-0110,1000,1200
국보한의원,127.074101307304,37.5370797649685,서울특별시 광진구 아차산로36길 35 자양우성7차아파트 상가동 303호 (자양동),02-455-8575,1000,1800
구명진이비인후과의원,126.98674005822598,37.50103880518291,"서울특별시 서초구 신반포로19길 10, H동 13-2호 (반포동, 반포아파트상가)",02-593-2414,1000,1730
김영재의원,127.044057499636,37.5272094613196,"서울특별시 강남구 압구정로 429, 4층 2호 (청담동)",02-546-7171,930,1830
365아이디의원,126.8643914298,37.530324503,"서울특별시 양천구 등촌로 2, 202호 (목동)",02-2644-5572,900,2100
김석근한의원,127.04138705758636,37.51780269853862,"서울특별시 강남구 선릉로 707, 2층 (논현동)",02-514-6633,1000,1830
가로세로한의원,127.015682231875,37.495042310750414,"서울특별시 서초구 서초중앙로24길 19, 6층 (서초동, 나라빌딩)",02-599-8456,1030,1930
가양한의원,126.852223862157,37.5630457825024,"서울특별시 강서구 양천로 461, 주영빌딩 2층 (가양동)",02-6949-1079,900,1800
365엠씨(mc)람스에스씨(SC)의원,127.025511220431,37.5013634093685,"서울특별시 서초구 강남대로 437, 대원빌딩 3층 (서초동)",070-4010-7781,1100,2000
e-좋은치과의원,127.023904344275,37.6311424842904,"서울특별시 강북구 도봉로 255, 4층 (수유동)",02-986-2804,930,1830
가온자리한의원,127.039273512676,37.4705783117857,"서울특별시 서초구 마방로2길 68, 2층 (양재동)",02-6403-7114,1030,1900
가바치과교정과치과의원,127.02383520999,37.6356640949861,"서울특별시 강북구 도봉로 308, 북한산스카이빌딩 5층 503호 (번동)",02-990-2080,1000,1830
가산시그니처정형외과의원,126.879311225819,37.4810281626186,"서울특별시 금천구 가산디지털2로 144, 현대테라타워 가산DK 2층 211,212,213,214호 (가산동)",02-6959-0675,900,1900
